id,list_name,party,session,date,value,category,description,claim_number
3970,"Johnson, Gareth",Conservative,11_12,2011-09-30,13.5,travel,Own Car MP,122214
3970,"Johnson, Gareth",Conservative,11_12,2011-10-06,5.4,travel,Own Car MP,131177
3970,"Johnson, Gareth",Conservative,12_13,2012-09-18,15.2,office costs,Hospitality,0000205641
3970,"Johnson, Gareth",Conservative,12_13,2012-09-17,44.22,office costs,Stationery Purchase,Payment to Supplier
3970,"Johnson, Gareth",Conservative,12_13,2013-01-07,8.8,travel,Public Tr RAIL - RTN,0000233923
3970,"Johnson, Gareth",Conservative,12_13,2012-05-23,3.6,travel,Own Vehicle Car,0000186421
3970,"Johnson, Gareth",Conservative,12_13,2013-03-22,10.35,travel,Own Vehicle Car,0000257878
3970,"Johnson, Gareth",Conservative,12_13,2012-09-19,35,office costs,Other,0000208151
3970,"Johnson, Gareth",Conservative,12_13,2012-07-31,18.99,office costs,Software Purchase,0000194655
3970,"Johnson, Gareth",Conservative,10_11,2010-07-01,6.4,travel,Own Car MP,15894
3970,"Johnson, Gareth",Conservative,10_11,2010-07-28,6.4,travel,Own Car MP,39017
3970,"Johnson, Gareth",Conservative,10_11,2010-07-24,30,general admin,Website - Design/Production,20512
3970,"Johnson, Gareth",Conservative,10_11,2010-11-26,12,travel,Own Car MP,51226
3970,"Johnson, Gareth",Conservative,10_11,2010-09-28,4.8,travel,Own Car MP,39017
3970,"Johnson, Gareth",Conservative,10_11,2010-05-28,5.2,travel,Own Car MP,4236
3970,"Johnson, Gareth",Conservative,10_11,2011-01-14,11.2,travel,Own Car MP,69408
3970,"Johnson, Gareth",Conservative,10_11,2011-01-05,150,constituency rental,Const Office Hire of Premises,69424
3970,"Johnson, Gareth",Conservative,10_11,2010-10-13,14.4,travel,Own Car MP Staff,49599
3970,"Johnson, Gareth",Conservative,10_11,2011-01-07,10.4,travel,Own Car MP,69408
3970,"Johnson, Gareth",Conservative,10_11,2010-07-14,14.8,travel,Public Tr RAIL MP Staff - RTN,38962
3970,"Johnson, Gareth",Conservative,10_11,2010-12-08,15,travel,Food & Drink @ Parliament,55576
3970,"Johnson, Gareth",Conservative,10_11,2010-10-07,5.3,travel,Public Tr RAIL MP Staff - RTN,48134
3970,"Johnson, Gareth",Conservative,10_11,2010-07-18,6,travel,Own Car MP,15894
3970,"Johnson, Gareth",Conservative,10_11,2011-01-20,7.2,travel,Own Car MP,69408
3970,"Johnson, Gareth",Conservative,10_11,2011-01-17,29,general admin,Hospitality,63794
3970,"Johnson, Gareth",Conservative,10_11,2010-07-23,21.6,travel,Own Car MP,39017
3970,"Johnson, Gareth",Conservative,10_11,2011-01-31,16,travel,Own Car MP Staff,69635
3970,"Johnson, Gareth",Conservative,10_11,2010-11-17,51.71,general admin,Computer HW Purchase,49642
3970,"Johnson, Gareth",Conservative,10_11,2011-02-18,10.8,travel,Own Car MP,78129
3970,"Johnson, Gareth",Conservative,10_11,2010-12-09,674.71,constituency rental,Const Office Rent,55572
3970,"Johnson, Gareth",Conservative,10_11,2011-03-23,3.6,general admin,Hospitality,78887
3970,"Johnson, Gareth",Conservative,10_11,2010-11-30,15,travel,Food & Drink @ Parliament,55576
3970,"Johnson, Gareth",Conservative,10_11,2011-02-21,179.12,constituency rental,Const Office Tel. Usage/Rental,69424
3970,"Johnson, Gareth",Conservative,10_11,2011-02-15,15,travel,Food & Drink @ Parliament,72287
3970,"Johnson, Gareth",Conservative,10_11,2010-09-16,6.8,travel,Own Car MP,39017
3970,"Johnson, Gareth",Conservative,10_11,2011-01-24,13.6,travel,Public Tr RAIL MP Staff - RTN,69394
3970,"Johnson, Gareth",Conservative,10_11,2010-11-04,5.25,general admin,Hospitality,49642
3970,"Johnson, Gareth",Conservative,10_11,2011-03-18,8,travel,Own Car MP,78129
3970,"Johnson, Gareth",Conservative,10_11,2011-03-10,5.2,travel,Own Car MP,78129
3970,"Johnson, Gareth",Conservative,10_11,2010-12-13,43.2,general admin,Hospitality,58772
3970,"Johnson, Gareth",Conservative,10_11,2011-02-07,8,travel,Own Car MP,78129
3970,"Johnson, Gareth",Conservative,10_11,2010-07-14,7.5,travel,Public Tr RAIL MP Staff - RTN,38962
3970,"Johnson, Gareth",Conservative,10_11,2010-12-03,500,general admin,Contact Cards,63794
3970,"Johnson, Gareth",Conservative,10_11,2011-03-11,25.6,travel,Own Car MP Staff,86907
3970,"Johnson, Gareth",Conservative,10_11,2011-02-16,15,travel,Food & Drink @ Parliament,72287
3970,"Johnson, Gareth",Conservative,10_11,2010-07-14,7.2,travel,Own Car MP,15894
3970,"Johnson, Gareth",Conservative,10_11,2010-07-18,2.79,general admin,Stationery Purchase,28492
3970,"Johnson, Gareth",Conservative,10_11,2011-01-14,10,travel,Own Car MP Staff,69635
3970,"Johnson, Gareth",Conservative,10_11,2010-10-18,62.72,constituency rental,Const Office Telephone Rental,40464
3970,"Johnson, Gareth",Conservative,10_11,2010-07-03,6.4,travel,Own Car MP,15894
3970,"Johnson, Gareth",Conservative,10_11,2010-06-09,899.62,constituency rental,Const Office Rent,9039
3970,"Johnson, Gareth",Conservative,10_11,2010-09-09,7.2,travel,Own Car MP,39017
3970,"Johnson, Gareth",Conservative,10_11,2010-09-10,75,constituency rental,Const Office Hire of Premises,55172
3970,"Johnson, Gareth",Conservative,10_11,2010-10-01,12.8,travel,Own Car MP Staff,44253
3970,"Johnson, Gareth",Conservative,10_11,2010-06-23,4.8,travel,Own Car MP,15894
3970,"Johnson, Gareth",Conservative,10_11,2010-07-14,7.5,travel,Public Tr RAIL MP Staff - RTN,38962
3970,"Johnson, Gareth",Conservative,10_11,2010-09-01,674.71,constituency rental,Const Office Rent,26662
3970,"Johnson, Gareth",Conservative,10_11,2010-12-10,11.2,travel,Own Car MP Staff,58782
3970,"Johnson, Gareth",Conservative,10_11,2010-06-18,6.4,travel,Own Car MP,15894
3970,"Johnson, Gareth",Conservative,10_11,2011-01-18,67.22,constituency rental,Const Office Internet Rental,63789
3970,"Johnson, Gareth",Conservative,10_11,2011-03-18,51.97,general admin,Other,78887
3970,"Johnson, Gareth",Conservative,10_11,2010-12-20,168.45,constituency rental,Const Office Tel. Usage/Rental,58751
3970,"Johnson, Gareth",Conservative,10_11,2010-11-05,192.71,general admin,Stationery Purchase,49642
3970,"Johnson, Gareth",Conservative,10_11,2010-10-22,13.6,travel,Own Car MP Staff,49599
3970,"Johnson, Gareth",Conservative,10_11,2010-07-15,56.4,general admin,Stationery Purchase,28492
3970,"Johnson, Gareth",Conservative,10_11,2011-01-04,68.06,general admin,Stationery Purchase,63794
3970,"Johnson, Gareth",Conservative,10_11,2010-09-10,15.6,travel,Own Car MP,39017
3970,"Johnson, Gareth",Conservative,10_11,2011-03-31,4.49,general admin,Stationery Purchase,81820
3970,"Johnson, Gareth",Conservative,10_11,2011-03-26,7.2,travel,Own Car MP,91765
3970,"Johnson, Gareth",Conservative,10_11,2010-06-25,4.8,travel,Own Car MP,15894
3970,"Johnson, Gareth",Conservative,10_11,2010-12-07,15,travel,Food & Drink @ Parliament,55576
3970,"Johnson, Gareth",Conservative,10_11,2010-12-13,15,travel,Food & Drink @ Parliament,58760
3970,"Johnson, Gareth",Conservative,10_11,2011-01-15,5.6,travel,Own Car MP,69408
3970,"Johnson, Gareth",Conservative,10_11,2010-08-10,87,general admin,Telephone/Mobile Hire,28492
3970,"Johnson, Gareth",Conservative,10_11,2011-03-29,24.8,travel,Own Car MP Staff,86907
3970,"Johnson, Gareth",Conservative,10_11,2010-06-18,5.2,travel,Own Car MP,15894
3970,"Johnson, Gareth",Conservative,10_11,2011-01-28,17.2,travel,Own Car MP,69408
3970,"Johnson, Gareth",Conservative,10_11,2011-01-28,10,travel,Own Car MP Staff,69635
3970,"Johnson, Gareth",Conservative,10_11,2010-11-09,12.6,travel,Public Tr RAIL Other MP Staff,49657
3970,"Johnson, Gareth",Conservative,10_11,2010-10-15,14,travel,Own Car MP Staff,49599
3970,"Johnson, Gareth",Conservative,10_11,2010-07-09,14.4,travel,Own Car MP,15894
3970,"Johnson, Gareth",Conservative,10_11,2010-09-10,11.2,travel,Own Car MP Staff,44253
3970,"Johnson, Gareth",Conservative,10_11,2010-12-30,139.99,general admin,Printer Purchase,63794
3970,"Johnson, Gareth",Conservative,10_11,2011-03-14,24.98,general admin,Stationery Purchase,78887
3970,"Johnson, Gareth",Conservative,10_11,2010-10-02,16.98,general admin,Stationery Purchase,38811
3970,"Johnson, Gareth",Conservative,10_11,2010-07-01,188.88,constituency rental,Const Office Telephone Rental,13507
3970,"Johnson, Gareth",Conservative,10_11,2010-11-01,7.2,travel,Own Car MP,51226
3970,"Johnson, Gareth",Conservative,10_11,2010-11-02,5.3,travel,Public Tr RAIL MP Staff - RTN,48134
3970,"Johnson, Gareth",Conservative,10_11,2010-05-10,3877.5,staffing,Pooled Staffing Services,4252
3970,"Johnson, Gareth",Conservative,10_11,2010-11-29,15,travel,Food & Drink @ Parliament,55576
3970,"Johnson, Gareth",Conservative,10_11,2010-10-22,129.25,constituency rental,Const Office Rent,44709
3970,"Johnson, Gareth",Conservative,10_11,2010-11-23,168.57,constituency rental,Const Office Tel. Usage/Rental,55572
3970,"Johnson, Gareth",Conservative,10_11,2010-06-22,81.08,general admin,Telephone/Mobile Hire,15352
3970,"Johnson, Gareth",Conservative,10_11,2010-12-17,21.2,travel,Own Car MP,69408
3970,"Johnson, Gareth",Conservative,10_11,2010-11-02,97.98,general admin,Telephone/Mobile Hire,44718
3970,"Johnson, Gareth",Conservative,10_11,2010-06-04,5.2,travel,Own Car MP,4236
3970,"Johnson, Gareth",Conservative,10_11,2011-02-28,8,travel,Own Car MP,78129
3970,"Johnson, Gareth",Conservative,10_11,2010-05-14,4.8,travel,Own Car MP,4236
3970,"Johnson, Gareth",Conservative,10_11,2010-07-11,49.99,general admin,Other,13498
